?iso2_str	?age	?val_str	?pop	?den
"AD"	1980	"407.037"	84082	180
"AE"	1980	"36904.687999999995"	8264070	99
"AF"	1980	"1760.1599999999999"	29835392	44
"AM"	1980	"4052.035"	3262200	108
"AO"	1980	"5346.486"	18498000	15
"AR"	1980	"108737.55099999999"	41281631	15
"AT"	1980	"52306.087999999996"	8414638	1003
"AU"	1980	"220746.066"	22875104	3
"AW"	1980	"179.683"	101484	567
"AZ"	1980	"57681.909999999996"	9165000	106
"BA"	1980	"3938.3579999999997"	3839737	75
"BB"	1980	"674.728"	284589	660
"BD"	1980	"7638.361"	148000000	964
"BD"	1980	"7638.361"	158570535	964
"BE"	1980	"135293.965"	11007020	355
"BF"	1980	"432.70599999999996"	15730977	57
"BH"	1980	"7887.717"	1234571	1627
"BI"	1980	"146.68"	10216190	367
"BJ"	1980	"517.047"	9598787	78
"BN"	1980	"6882.959"	408786	67
"BO"	1980	"4668.090999999999"	10907778	9
"BR"	1980	"187090.34"	192376496	22
"BS"	1980	"7990.393"	353658	23
"BT"	1980	"22.002"	708427	18
"BW"	1980	"986.423"	2029307	3
"BZ"	1980	"190.684"	333200	15
"CD"	1980	"3501.9849999999997"	71712867	29
"CF"	1980	"106.34299999999999"	4422000	7
"CG"	1980	"407.037"	3686000	11
"CH"	1980	"40538.685"	7952600	188
"CI"	1980	"6222.898999999999"	20617068	64
"CL"	1980	"25265.629999999997"	17248450	23
"CM"	1980	"3905.355"	19100000	40
"CO"	1980	"44356.032"	46366364	41
"CV"	1980	"121.011"	567000	126
"CY"	1980	"3208.625"	1099341	117
"CY"	1980	"3208.625"	838897	117
"DE"	1980	"930856.9489999999"	81799600	229
"DJ"	1980	"348.365"	906000	37
"DM"	1980	"36.67"	72660	105
"DZ"	1980	"66519.37999999999"	37100000	15
"EC"	1980	"13443.222"	15007343	54
"EE"	1980	"23036.093999999997"	1340194	29
"EG"	1980	"45239.778999999995"	90000000	2755
"EG"	1980	"45239.778999999995"	90000000	7136
"EG"	1980	"45239.778999999995"	90000000	76
"ER"	1980	"183.35"	5824000	43
"ES"	1980	"215003.544"	46030109	93
"ET"	1980	"1822.4989999999998"	82101998	74
"FI"	1980	"58246.628"	5404956	16
"FJ"	1980	"795.7389999999999"	849000	46
"FM"	1980	"55.004999999999995"	111000	158
"FO"	1980	"421.705"	49267	35
"GA"	1980	"6633.603"	1475000	6
"GB"	1980	"579290.6579999999"	62262000	256
"GD"	1980	"47.671"	110000	320
"GE"	1980	"15335.393999999998"	4469200	68
"GH"	1980	"2559.566"	24233431	102
"GL"	1980	"564.718"	56615	0
"GM"	1980	"157.68099999999998"	1705000	164
