?iso2_str	?age	?val_str	?pop	?den
"AE"	1990	"13414.199999999999"	8264070	99
"AM"	1990	"2890.7"	3262200	108
"AO"	1990	"22056.6"	18498000	15
"AR"	1990	"102023.6"	41281631	15
"AT"	1990	"10026.5"	8414638	1003
"AU"	1990	"115047.6"	22875104	3
"AZ"	1990	"11418.2"	9165000	106
"BA"	1990	"4589.8"	3839737	75
"BD"	1990	"87089.5"	148000000	964
"BD"	1990	"87089.5"	158570535	964
"BE"	1990	"12440.099999999999"	11007020	355
"BH"	1990	"1785.5"	1234571	1627
"BJ"	1990	"5119.5"	9598787	78
"BN"	1990	"3591.9"	408786	67
"BO"	1990	"22428.5"	10907778	9
"BR"	1990	"319638.3"	192376496	22
"BW"	1990	"6074.0"	2029307	3
"CD"	1990	"98339.5"	71712867	29
"CG"	1990	"7194.200000000001"	3686000	11
"CH"	1990	"5904.8"	7952600	188
"CI"	1990	"12146.3"	20617068	64
"CL"	1990	"11978.1"	17248450	23
"CM"	1990	"15980.1"	19100000	40
"CO"	1990	"50242.3"	46366364	41
"CY"	1990	"441.3"	1099341	117
"CY"	1990	"441.3"	838897	117
"DE"	1990	"115443.1"	81799600	229
"DZ"	1990	"31212.6"	37100000	15
"EC"	1990	"10984.6"	15007343	54
"EE"	1990	"3408.3"	1340194	29
"EG"	1990	"26927.9"	90000000	2755
"EG"	1990	"26927.9"	90000000	7136
"EG"	1990	"26927.9"	90000000	76
"ER"	1990	"2070.6000000000004"	5824000	43
"ES"	1990	"32795.0"	46030109	93
"ET"	1990	"39981.299999999996"	82101998	74
"FI"	1990	"10070.2"	5404956	16
"GA"	1990	"3478.5"	1475000	6
"GB"	1990	"117309.70000000001"	62262000	256
"GE"	1990	"5037.0"	4469200	68
"GH"	1990	"7924.7"	24233431	102
"GR"	1990	"7734.099999999999"	11305118	85
"GT"	1990	"4798.4"	13824463	129
"HN"	1990	"3971.4"	8249574	64
"HT"	1990	"3307.7999999999997"	9719932	350
"HU"	1990	"10050.4"	10014324	107
"ID"	1990	"152209.9"	237424363	124
"IL"	1990	"1913.0"	7869900	371
"IQ"	1990	"21395.3"	30399572	74
"IR"	1990	"56661.5"	78868711	48
"IS"	1990	"341.7"	320060	3
"IT"	1990	"47143.799999999996"	60681514	201
"JM"	1990	"1235.1000000000001"	2847232	252
"JO"	1990	"867.1"	6508271	68
"JP"	1990	"66927.59999999999"	127799000	337
"KE"	1990	"20324.3"	43013341	67
"KG"	1990	"5822.6"	5550239	27
