?iso2_str	?age	?val_str	?pop	?den
"AE"	1990	"699.1"	8264070	99
"AM"	1990	"805.0"	3262200	108
"AO"	1990	"17734.2"	18498000	15
"AR"	1990	"38453.200000000004"	41281631	15
"AT"	1990	"5086.299999999999"	8414638	1003
"AU"	1990	"63067.100000000006"	22875104	3
"AZ"	1990	"2665.7999999999997"	9165000	106
"BA"	1990	"2022.6000000000001"	3839737	75
"BD"	1990	"15150.6"	148000000	964
"BD"	1990	"15150.6"	158570535	964
"BE"	1990	"9037.699999999999"	11007020	355
"BH"	1990	"70.2"	1234571	1627
"BJ"	1990	"3732.5"	9598787	78
"BN"	1990	"571.1"	408786	67
"BO"	1990	"14611.599999999999"	10907778	9
"BR"	1990	"155788.0"	192376496	22
"BW"	1990	"5394.5"	2029307	3
"CD"	1990	"87165.0"	71712867	29
"CG"	1990	"4351.5"	3686000	11
"CH"	1990	"2846.4"	7952600	188
"CI"	1990	"7618.0"	20617068	64
"CL"	1990	"5100.7"	17248450	23
"CM"	1990	"10460.3"	19100000	40
"CO"	1990	"20181.7"	46366364	41
"CY"	1990	"240.2"	1099341	117
"CY"	1990	"240.2"	838897	117
"DE"	1990	"73188.0"	81799600	229
"DZ"	1990	"3867.6"	37100000	15
"EC"	1990	"3194.0"	15007343	54
"EE"	1990	"1872.9"	1340194	29
"EG"	1990	"11936.9"	90000000	2755
"EG"	1990	"11936.9"	90000000	7136
"EG"	1990	"11936.9"	90000000	76
"ER"	1990	"1030.6"	5824000	43
"ES"	1990	"24862.300000000003"	46030109	93
"ET"	1990	"25278.600000000002"	82101998	74
"FI"	1990	"7423.0"	5404956	16
"GA"	1990	"307.09999999999997"	1475000	6
"GB"	1990	"55250.700000000004"	62262000	256
"GE"	1990	"2780.8"	4469200	68
"GH"	1990	"5101.4"	24233431	102
"GR"	1990	"7482.2"	11305118	85
"GT"	1990	"2483.4"	13824463	129
"HN"	1990	"2427.6"	8249574	64
"HT"	1990	"910.3"	9719932	350
"HU"	1990	"10114.2"	10014324	107
"ID"	1990	"88949.5"	237424363	124
"IL"	1990	"1495.8"	7869900	371
"IQ"	1990	"3808.9"	30399572	74
"IR"	1990	"18824.7"	78868711	48
"IS"	1990	"404.0"	320060	3
"IT"	1990	"30282.399999999998"	60681514	201
"JM"	1990	"479.2"	2847232	252
"JO"	1990	"463.8"	6508271	68
"JP"	1990	"36174.799999999996"	127799000	337
