?iso2_str	?age	?val_str	?pop	?den
"AE"	1990	"843.4"	8264070	99
"AM"	1990	"0.0"	3262200	108
"AO"	1990	"0.0"	18498000	15
"AR"	1990	"2296.5"	41281631	15
"AT"	1990	"1437.8000000000002"	8414638	1003
"AU"	1990	"4872.8"	22875104	3
"AZ"	1990	"175.6"	9165000	106
"BA"	1990	"616.7"	3839737	75
"BD"	1990	"0.0"	148000000	964
"BD"	1990	"0.0"	158570535	964
"BE"	1990	"141.9"	11007020	355
"BH"	1990	"2535.7"	1234571	1627
"BJ"	1990	"0.0"	9598787	78
"BN"	1990	"0.0"	408786	67
"BO"	1990	"0.0"	10907778	9
"BR"	1990	"8396.7"	192376496	22
"BW"	1990	"0.0"	2029307	3
"CD"	1990	"0.0"	71712867	29
"CG"	1990	"0.0"	3686000	11
"CH"	1990	"902.5999999999999"	7952600	188
"CI"	1990	"0.0"	20617068	64
"CL"	1990	"16.7"	17248450	23
"CM"	1990	"932.3000000000001"	19100000	40
"CO"	1990	"41.900000000000006"	46366364	41
"CY"	1990	"0.0"	1099341	117
"CY"	1990	"0.0"	838897	117
"DE"	1990	"12545.7"	81799600	229
"DZ"	1990	"326.0"	37100000	15
"EC"	1990	"0.0"	15007343	54
"EE"	1990	"2.1"	1340194	29
"EG"	1990	"2050.5"	90000000	2755
"EG"	1990	"2050.5"	90000000	7136
"EG"	1990	"2050.5"	90000000	76
"ER"	1990	"0.0"	5824000	43
"ES"	1990	"6146.0"	46030109	93
"ET"	1990	"0.0"	82101998	74
"FI"	1990	"100.2"	5404956	16
"GA"	1990	"0.0"	1475000	6
"GB"	1990	"5244.199999999999"	62262000	256
"GE"	1990	"0.0"	4469200	68
"GH"	1990	"596.1999999999999"	24233431	102
"GR"	1990	"2318.5"	11305118	85
"GT"	1990	"0.1"	13824463	129
"HN"	1990	"0.0"	8249574	64
"HT"	1990	"0.0"	9719932	350
"HU"	1990	"702.0000000000001"	10014324	107
"ID"	1990	"1720.7"	237424363	124
"IL"	1990	"1049.3999999999999"	7869900	371
"IQ"	1990	"252.9"	30399572	74
"IR"	1990	"2590.8"	78868711	48
"IS"	1990	"1036.9"	320060	3
"IT"	1990	"4074.0"	60681514	201
"JM"	1990	"0.0"	2847232	252
"JO"	1990	"0.0"	6508271	68
"JP"	1990	"28280.1"	127799000	337
"KE"	1990	"0.0"	43013341	67
"KG"	1990	"0.0"	5550239	27
"KH"	1990	"0.0"	14805358	82
"KP"	1990	"0.2"	24051218	198
"KR"	1990	"6157.200000000001"	48875000	491
"KW"	1990	"263.1"	3566437	200
"KZ"	1990	"0.0"	16600000	6
"LB"	1990	"0.0"	4224000	404
"LK"	1990	"0.0"	20860000	309
"LT"	1990	"1.0"	3187176	50
"LU"	1990	"0.2"	509074	194
"LV"	1990	"0.7999999999999999"	2217053	34
"MA"	1990	"0.0"	32545170	72
"MD"	1990	"0.0"	3559500	122
"MK"	1990	"0.0"	2055004	82
"MM"	1990	"0.0"	60280000	74
"MT"	1990	"0.0"	452515	1307
"MZ"	1990	"0.0"	22894000	29
"NG"	1990	"241.9"	170123740	184
"NI"	1990	"0.0"	5891199	42
"NP"	1990	"0.0"	29331000	199
"NZ"	1990	"941.4000000000001"	4422700	17
"PE"	1990	"0.0"	29496000	23
"PK"	1990	"1008.9999999999999"	177100000	214
"PL"	1990	"532.2"	38186860	120
"PT"	1990	"110.8"	10578776	115
"PY"	1990	"0.0"	6454548	14
"RU"	1990	"25788.6"	143030106	8
"SA"	1990	"2441.4"	27136977	12
"SI"	1990	"769.0"	2050189	101
"SK"	1990	"68.3"	5445324	111
"SN"	1990	"0.0"	12855153	65
"SV"	1990	"0.0"	6134000	342
"SY"	1990	"0.0"	22530746	118
"TG"	1990	"0.0"	6619000	117
"TH"	1990	"1429.5"	667201532	132
"TJ"	1990	"2806.1"	7616000	49
"TM"	1990	"0.0"	5110000	11
"TN"	1990	"0.0"	10732900	63
"TR"	1990	"2572.7"	74724269	97
"TT"	1990	"0.0"	1227505	254
"TZ"	1990	"0.0"	43188000	46
"UA"	1990	"224.1"	45888000	77
"UY"	1990	"0.0"	3318535	19
"UZ"	1990	"0.0"	29559100	61
"VE"	1990	"3248.1000000000004"	27150	30
"VN"	1990	"0.0"	91519289	259
"YE"	1990	"0.0"	25130000	45
"ZA"	1990	"1491.1000000000001"	48810427	41
"ZM"	1990	"0.0"	12935000	17
"ZW"	1990	"0.0"	12521000	26
"AE"	2000	"878.1"	8264070	99
"AM"	2000	"42.0"	3262200	108
"AO"	2000	"0.7"	18498000	15
"AR"	2000	"408.8"	41281631	15
"AT"	2000	"1419.5"	8414638	1003
"AU"	2000	"4198.3"	22875104	3
"AZ"	2000	"41.300000000000004"	9165000	106
"BA"	2000	"409.70000000000005"	3839737	75
"BD"	2000	"0.0"	148000000	964
"BD"	2000	"0.0"	158570535	964
"BE"	2000	"1154.6000000000001"	11007020	355
"BH"	2000	"236.1"	1234571	1627
"BJ"	2000	"0.0"	9598787	78
"BN"	2000	"100.7"	408786	67
"BO"	2000	"0.0"	10907778	9
"BR"	2000	"5025.2"	192376496	22
"BW"	2000	"0.0"	2029307	3
"CD"	2000	"0.0"	71712867	29
"CG"	2000	"0.8"	3686000	11
"CH"	2000	"1239.1999999999998"	7952600	188
"CI"	2000	"0.0"	20617068	64
"CL"	2000	"6.9"	17248450	23
"CM"	2000	"514.7"	19100000	40
"CO"	2000	"28.4"	46366364	41
"CY"	2000	"78.39999999999999"	1099341	117
"CY"	2000	"78.39999999999999"	838897	117
"DE"	2000	"18513.9"	81799600	229
"DZ"	2000	"371.90000000000003"	37100000	15
"EC"	2000	"19.7"	15007343	54
"EE"	2000	"13.3"	1340194	29
"EG"	2000	"2565.6"	90000000	2755
"EG"	2000	"2565.6"	90000000	7136
"EG"	2000	"2565.6"	90000000	76
"ER"	2000	"0.0"	5824000	43
"ES"	2000	"8037.1"	46030109	93
"ET"	2000	"3.6"	82101998	74
"FI"	2000	"521.8"	5404956	16
"GA"	2000	"2.9"	1475000	6
"GB"	2000	"8376.7"	62262000	256
"GE"	2000	"2.5"	4469200	68
"GH"	2000	"148.0"	24233431	102
"GR"	2000	"2811.5"	11305118	85
"GT"	2000	"157.6"	13824463	129
"HN"	2000	"0.0"	8249574	64
"HT"	2000	"0.0"	9719932	350
"HU"	2000	"761.9000000000001"	10014324	107
"ID"	2000	"997.4"	237424363	124
"IL"	2000	"1787.6"	7869900	371
"IQ"	2000	"156.1"	30399572	74
"IR"	2000	"1833.4"	78868711	48
"IS"	2000	"144.79999999999998"	320060	3
"IT"	2000	"8752.3"	60681514	201
"JM"	2000	"17.8"	2847232	252
"JO"	2000	"19.7"	6508271	68
"JP"	2000	"50326.200000000004"	127799000	337
"KE"	2000	"0.0"	43013341	67
"KG"	2000	"7.9"	5550239	27
"KH"	2000	"0.0"	14805358	82
"KP"	2000	"1760.1"	24051218	198
"KR"	2000	"14587.3"	48875000	491
"KW"	2000	"498.19999999999993"	3566437	200
"KZ"	2000	"57.5"	16600000	6
"LB"	2000	"0.0"	4224000	404
"LK"	2000	"0.0"	20860000	309
"LT"	2000	"172.9"	3187176	50
"LU"	2000	"52.1"	509074	194
"LV"	2000	"195.7"	2217053	34
"MA"	2000	"0.0"	32545170	72
"MD"	2000	"1.9"	3559500	122
"MK"	2000	"51.8"	2055004	82
"MM"	2000	"0.0"	60280000	74
"MT"	2000	"50.0"	452515	1307
"MZ"	2000	"43.7"	22894000	29
"NG"	2000	"270.9"	170123740	184
"NI"	2000	"0.0"	5891199	42
"NP"	2000	"0.0"	29331000	199
"NZ"	2000	"758.3000000000001"	4422700	17
"PE"	2000	"103.1"	29496000	23
"PK"	2000	"347.2"	177100000	214
"PL"	2000	"1376.3"	38186860	120
"PT"	2000	"505.3"	10578776	115
"PY"	2000	"0.0"	6454548	14
"RU"	2000	"50688.0"	143030106	8
"SA"	2000	"1340.1"	27136977	12
"SI"	2000	"323.29999999999995"	2050189	101
"SK"	2000	"185.60000000000002"	5445324	111
"SN"	2000	"0.0"	12855153	65
"SV"	2000	"41.4"	6134000	342
"SY"	2000	"0.0"	22530746	118
"TG"	2000	"0.0"	6619000	117
"TH"	2000	"453.1"	667201532	132
"TJ"	2000	"798.0"	7616000	49
"TM"	2000	"10.9"	5110000	11
"TN"	2000	"0.0"	10732900	63
"TR"	2000	"2538.5"	74724269	97
"TT"	2000	"0.0"	1227505	254
"TZ"	2000	"0.0"	43188000	46
"UA"	2000	"454.20000000000005"	45888000	77
"UY"	2000	"29.3"	3318535	19
"UZ"	2000	"192.0"	29559100	61
"VE"	2000	"1124.5"	27150	30
"VN"	2000	"0.0"	91519289	259
"YE"	2000	"0.0"	25130000	45
"ZA"	2000	"1728.8000000000002"	48810427	41
"ZM"	2000	"0.1"	12935000	17
"ZW"	2000	"0.0"	12521000	26
"AE"	2005	"1064.1000000000001"	8264070	99
"AM"	2005	"332.2"	3262200	108
